sim_time_s,wall_time_s,dist_from_start_m,dist_raced_m,race_lap,race_finished,capture_lap_closed,cur_lap_time_s,last_lap_time_s,total_speed_mps,speed_body_x_mps,speed_body_y_mps,speed_body_z_mps,angle_rad,track_pos,damage,fuel_l,gear,engine_rpm,race_pos,pos_z_m,fr_spin_vel_rad_s,fl_spin_vel_rad_s,rr_spin_vel_rad_s,rl_spin_vel_rad_s,fr_tire_wear,fl_tire_wear,rr_tire_wear,rl_tire_wear,fr_tire_temp_c,fl_tire_temp_c,rr_tire_temp_c,rl_tire_temp_c,fr_tire_pressure_kpa,fl_tire_pressure_kpa,rr_tire_pressure_kpa,rl_tire_pressure_kpa,fr_tire_graining,fl_tire_graining,rr_tire_graining,rl_tire_graining,opp_nearest_m,track_beam_00_m,track_beam_01_m,track_beam_02_m,track_beam_03_m,track_beam_04_m,track_beam_05_m,track_beam_06_m,track_beam_07_m,track_beam_08_m,track_beam_09_m,track_beam_10_m,track_beam_11_m,track_beam_12_m,track_beam_13_m,track_beam_14_m,track_beam_15_m,track_beam_16_m,track_beam_17_m,track_beam_18_m,accel_cmd,brake_cmd,steer_cmd,gear_cmd,clutch_cmd
13.092,9109412.3,5759.156,-24.94092,1,0,0,13.09,0.0,0.8612,0.8612,0.0023,0.0032,0.02378225,-0.0003551136,0.0,99.99756,1.0,11088.92,1.0,0.2933884,2.373624,2.27469,62.32698,62.32698,6.238643e-07,6.71438e-07,6.222276e-05,6.224639e-05,20.00012,20.00009,20.0657,20.0657,237.0001,237.0001,224.0502,224.0502,1.1124e-11,1.290406e-11,1.109107e-07,1.109951e-07,200.0,5.503418,5.611572,5.906253,6.439312,7.320389,8.786467,11.40704,16.90676,32.97149,200.0,30.23087,15.30457,10.61903,8.340004,7.046802,6.267697,5.803446,5.561401,5.499634,1.0,0.0,0.03050657984868818,2,0.0
13.112,9109412.318,5759.174,-24.92285,1,0,0,13.11,0.0,0.9826,0.9826,0.0017,0.0012,0.02368164,-0.0004660866,0.0,99.99746,2.0,8384.658,1.0,0.2933998,3.265998,2.689022,58.42445,58.42537,6.79989e-07,7.357169e-07,8.263383e-05,8.265554e-05,20.00012,20.00009,20.08728,20.08725,237.0001,237.0001,224.0667,224.0667,1.319362e-11,1.546269e-11,1.951228e-07,1.952252e-07,200.0,5.504028,5.612061,5.906868,6.439523,7.320555,8.786311,11.40626,16.90377,32.95606,200.0,30.24738,15.30694,10.61991,8.339824,7.046696,6.267275,5.802975,5.560791,5.499023,1.0,0.0,0.030449126812138558,3,0.0
13.132,9109412.338,5759.196,-24.90137,1,0,0,13.13,0.0,1.1051,1.1051,0.0021,-0.0001,0.02357006,-0.0005992543,0.0,99.99746,2.0,8394.672,1.0,0.2933717,4.023021,3.164332,52.3169,52.31854,7.307444e-07,7.9785e-07,0.0001009294,0.0001009504,20.00012,20.00009,20.1066,20.10657,237.0001,237.0001,224.0814,224.0814,1.521759e-11,1.815734e-11,2.903536e-07,2.90474e-07,200.0,5.504883,5.612671,5.907378,6.440027,7.320749,8.786081,11.40518,16.89937,32.93839,200.0,30.2648,15.31,10.62043,8.339962,7.046436,6.266832,5.802567,5.560181,5.498169,1.0,0.0,0.03039183592267869,3,0.0
13.152,9109412.36,5759.219,-24.87793,1,0,0,13.15,0.0,1.2264,1.2264,0.0028,-0.0005,0.02342653,-0.0007546165,0.0,99.99746,3.0,5240.445,1.0,0.2933199,4.426726,4.040866,46.29165,46.29385,7.923524e-07,8.600707e-07,0.0001172024,0.0001172226,20.00015,20.00012,20.12378,20.12375,237.0001,237.0001,224.0946,224.0946,1.78701e-11,2.107229e-11,3.907255e-07,3.908597e-07,200.0,5.505493,5.613403,5.90792,6.440319,7.320998,8.785987,11.4039,16.89486,32.91628,200.0,30.28784,15.31331,10.62145,8.340103,7.046202,6.266476,5.80183,5.559448,5.497437,1.0,0.0,0.030307994481778663,3,0.0
13.172,9109412.38,5759.245,-24.85205,1,0,0,13.17,0.0,1.3518,1.3518,0.0039,-0.0,0.02327013,-0.0009099787,0.0,99.99746,3.0,5255.307,1.0,0.2932642,4.604251,4.746665,39.99375,39.99646,8.546498e-07,9.130109e-07,0.0001314804,0.0001315012,20.00027,20.00018,20.13885,20.13882,237.0002,237.0001,224.1061,224.1061,2.076963e-11,2.372357e-11,4.909267e-07,4.910819e-07,200.0,5.50647,5.614014,5.908388,6.440906,7.321097,8.785597,11.40246,16.89002,32.89194,200.0,30.31323,15.31755,10.62264,8.340223,7.045855,6.265854,5.801096,5.558594,5.496582,1.0,0.0,0.03020776644452876,3,0.0
13.192,9109412.398,5759.273,-24.82422,1,0,0,13.19,0.0,1.4805,1.4805,0.0043,0.0009,0.02309895,-0.001065341,0.0,99.99746,3.0,5270.173,1.0,0.2932167,4.711891,5.219419,33.68238,33.68604,9.131348e-07,9.729673e-07,0.0001437282,0.0001437478,20.0004,20.00031,20.15176,20.15173,237.0003,237.0002,224.116,224.1159,2.368925e-11,2.691656e-11,5.85903e-07,5.860634e-07,200.0,5.507324,5.614746,5.90891,6.441183,7.321301,8.785295,11.40069,16.88434,32.8653,200.0,30.34142,15.32216,10.62397,8.340618,7.045748,6.265328,5.800721,5.557983,5.495605,1.0,0.0,0.030088719986554584,3,0.0
13.212,9109412.418,5759.304,-24.79297,1,0,0,13.21,0.0,1.6091,1.6091,0.0043,0.002,0.02291346,-0.001265092,0.0,99.99746,3.0,5235.988,1.0,0.2931838,4.967973,5.475828,28.06804,28.07263,9.674727e-07,1.030095e-06,0.0001540135,0.0001540338,20.00052,20.00046,20.1626,20.16257,237.0004,237.0004,224.1243,224.1242,2.657446e-11,3.014644e-11,6.720884e-07,6.72265e-07,200.0,5.508423,5.615723,5.90967,6.44162,7.321239,8.784524,11.39887,16.87818,32.83512,200.0,30.37145,15.32731,10.62537,8.341021,7.045415,6.265035,5.799939,5.557007,5.494507,1.0,0.0,0.029979712196873433,3,0.0
13.232,9109412.439,5759.337,-24.75977,1,0,0,13.23,0.0,1.7373,1.7373,0.0042,0.003,0.02272463,-0.001464844,0.0,99.99723,3.0,5235.988,1.0,0.2931664,5.341954,5.615551,29.64935,29.65477,1.024513e-06,1.084871e-06,0.0001635282,0.0001635492,20.00067,20.00061,20.17264,20.17258,237.0005,237.0005,224.1319,224.1319,2.978043e-11,3.341504e-11,7.570625e-07,7.572571e-07,200.0,5.509521,5.616577,5.910327,6.442286,7.321495,8.784611,11.39725,16.87191,32.80637,200.0,30.40348,15.33234,10.62655,8.340965,7.045181,6.264311,5.79911,5.556152,5.493286,1.0,0.0,0.029866452422848033,3,0.0
13.252,9109412.46,5759.374,-24.72314,1,0,0,13.25,0.0,1.8633,1.8633,0.0041,0.0039,0.0225234,-0.00168679,0.0,99.997,3.0,5235.988,1.0,0.2931623,5.920571,5.82308,31.34301,31.34934,1.075864e-06,1.13232e-06,0.0001736191,0.0001736406,20.00085,20.00076,20.18329,20.18323,237.0007,237.0006,224.1401,224.14,3.282384e-11,3.638211e-11,8.52729e-07,8.529404e-07,200.0,5.51062,5.617676,5.911183,6.442605,7.321893,8.78415,11.39527,16.86535,32.77415,200.0,30.43585,15.33726,10.62806,8.341301,7.044808,6.263855,5.798326,5.555054,5.492188,1.0,0.0,0.02975153361735069,3,0.0
13.272,9109412.478,5759.413,-24.68457,1,0,0,13.27,0.0,1.9871,1.9871,0.0043,0.0045,0.02231026,-0.001908736,0.0,99.99677,3.0,5235.988,1.0,0.2931685,6.563208,6.197601,33.03195,33.03922,1.126822e-06,1.180208e-06,0.0001842806,0.0001843035,20.0011,20.00095,20.19455,20.19449,237.0009,237.0008,224.1487,224.1486,3.598884e-11,3.950437e-11,9.600036e-07,9.60243e-07,200.0,5.511963,5.618652,5.911877,6.443426,7.322115,8.783505,11.39338,16.85802,32.7412,200.0,30.47162,15.34299,10.62949,8.341324,7.044595,6.262934,5.797291,5.553955,5.490845,1.0,0.0,0.029621450525720714,3,0.0
13.292,9109412.5,5759.454,-24.64355,1,0,0,13.29,0.0,2.111,2.111,0.0046,0.0049,0.02207994,-0.002175071,0.0,99.99654,3.0,5235.988,1.0,0.2931809,7.132351,6.723117,34.71861,34.72724,1.168131e-06,1.223869e-06,0.000195506,0.0001955298,20.00128,20.00116,20.20642,20.20636,237.0011,237.0009,224.1577,224.1577,3.866147e-11,4.246339e-11,1.079833e-06,1.080096e-06,200.0,5.513306,5.619873,5.913039,6.444146,7.322559,8.783379,11.39185,16.85156,32.70535,200.0,30.50814,15.34866,10.63064,8.341383,7.043956,6.262134,5.796306,5.552734,5.48938,1.0,0.0,0.029497752095116105,3,0.0
13.312,9109412.52,5759.497,-24.6001,1,0,0,13.31,0.0,2.2353,2.2352,0.005,0.0051,0.02183294,-0.002397017,0.0,99.99632,3.0,5235.988,1.0,0.2931945,7.627598,7.319763,36.40561,36.41554,1.206421e-06,1.26447e-06,0.0002072899,0.0002073151,20.00153,20.00143,20.21887,20.21881,237.0013,237.0012,224.1672,224.1672,4.122356e-11,4.53101e-11,1.213212e-06,1.213507e-06,200.0,5.514404,5.62085,5.913804,6.444517,7.322791,8.782791,11.38906,16.84304,32.66664,200.0,30.54941,15.35538,10.63299,8.341727,7.043573,6.2616,5.795428,5.551636,5.488037,1.0,0.0,0.02932455710353222,3,0.0
