sim_time_s,wall_time_s,dist_from_start_m,dist_raced_m,race_lap,race_finished,cur_lap_time_s,last_lap_time_s,total_speed_mps,speed_body_x_mps,speed_body_y_mps,speed_body_z_mps,angle_rad,track_pos,damage,fuel_l,gear,engine_rpm,race_pos,pos_z_m,fr_spin_vel_rad_s,fl_spin_vel_rad_s,rr_spin_vel_rad_s,rl_spin_vel_rad_s,fr_tire_wear,fl_tire_wear,rr_tire_wear,rl_tire_wear,fr_tire_temp_c,fl_tire_temp_c,rr_tire_temp_c,rl_tire_temp_c,fr_tire_pressure_kpa,fl_tire_pressure_kpa,rr_tire_pressure_kpa,rl_tire_pressure_kpa,fr_tire_graining,fl_tire_graining,rr_tire_graining,rl_tire_graining,opp_nearest_m,track_beam_00_m,track_beam_01_m,track_beam_02_m,track_beam_03_m,track_beam_04_m,track_beam_05_m,track_beam_06_m,track_beam_07_m,track_beam_08_m,track_beam_09_m,track_beam_10_m,track_beam_11_m,track_beam_12_m,track_beam_13_m,track_beam_14_m,track_beam_15_m,track_beam_16_m,track_beam_17_m,track_beam_18_m,accel_cmd,brake_cmd,steer_cmd,gear_cmd,clutch_cmd
8.272,9108593.371,5759.156,-24.94092,1,0,8.27,0.0,0.8615,0.8615,0.002,0.0032,0.01364708,-0.0003551136,0.0,99.99755,1.0,11091.11,1.0,0.2933886,2.420821,2.512541,62.33809,62.33809,6.619322e-07,6.425965e-07,6.224361e-05,6.221495e-05,20.00018,20.00018,20.0658,20.06583,237.0001,237.0001,224.0503,224.0503,1.254896e-11,1.180628e-11,1.109848e-07,1.108824e-07,200.0,5.502441,5.600464,5.8835,6.400168,7.256344,8.67792,11.20303,16.43503,31.271,200.0,32.19208,15.72856,10.8022,8.438341,7.105082,6.303099,5.82372,5.570312,5.498535,1.0,0.0,0.01760207792736931,2,0.0
8.292,9108593.391,5759.174,-24.92285,1,0,8.29,0.0,0.9878,0.9878,0.0023,0.0011,0.01359272,-0.0004660866,0.0,99.99745,2.0,8386.408,1.0,0.2934,2.867296,2.860061,58.43694,58.4371,7.27126e-07,7.041737e-07,8.265342e-05,8.262485e-05,20.00018,20.00018,20.08737,20.0874,237.0001,237.0001,224.0668,224.0668,1.511097e-11,1.415265e-11,1.952148e-07,1.9508e-07,200.0,5.503174,5.601074,5.884073,6.400761,7.256827,8.678045,11.20303,16.43402,31.26417,200.0,32.20051,15.72897,10.80198,8.437938,7.104702,6.302329,5.823092,5.569702,5.497925,1.0,0.0,0.01760351223201485,3,0.0
8.312,9108593.411,5759.196,-24.90137,1,0,8.31,0.0,1.1132,1.1132,0.0025,-0.0002,0.01352692,-0.0005992543,0.0,99.99745,2.0,8396.416,1.0,0.2933712,3.261694,3.250476,52.32997,52.32992,7.906614e-07,7.677964e-07,0.000100956,0.0001009282,20.00024,20.00024,20.10669,20.10669,237.0002,237.0002,224.0815,224.0815,1.78382e-11,1.680161e-11,2.905061e-07,2.903463e-07,200.0,5.503784,5.601685,5.884471,6.401316,7.257355,8.678555,11.20337,16.43252,31.25527,200.0,32.2114,15.73024,10.80202,8.437641,7.104226,6.302014,5.82267,5.56897,5.497192,1.0,0.0,0.017604510261039624,3,0.0
8.332,9108593.43,5759.219,-24.87793,1,0,8.33,0.0,1.2367,1.2367,0.0026,-0.0005,0.01345205,-0.0007546165,0.0,99.99745,3.0,5240.445,1.0,0.2933197,3.678045,3.663742,46.3045,46.30455,8.498612e-07,8.266227e-07,0.0001172404,0.0001172121,20.00031,20.00031,20.1239,20.1239,237.0002,237.0002,224.0947,224.0947,2.058317e-11,1.945317e-11,3.909784e-07,3.907895e-07,200.0,5.504761,5.602539,5.885217,6.401961,7.258101,8.679264,11.20322,16.43171,31.24653,200.0,32.22371,15.7309,10.80172,8.436996,7.10352,6.301277,5.821971,5.568115,5.496338,1.0,0.0,0.017608089465468463,3,0.0
8.352,9108593.452,5759.245,-24.85205,1,0,8.35,0.0,1.3618,1.3618,0.0028,-0.0,0.01336765,-0.0009099787,0.0,99.99745,3.0,5255.307,1.0,0.2932642,4.038445,4.014317,40.00808,40.00832,9.129882e-07,8.903143e-07,0.0001315246,0.0001314962,20.0004,20.00043,20.13895,20.13898,237.0003,237.0004,224.1062,224.1062,2.372687e-11,2.254259e-11,4.912566e-07,4.910446e-07,200.0,5.505493,5.603271,5.885961,6.402703,7.258699,8.679685,11.20373,16.43033,31.23526,200.0,32.23663,15.7326,10.80141,8.436674,7.10289,6.300492,5.821019,5.567383,5.495483,1.0,0.0,0.017599534694511573,3,0.0
8.372,9108593.47,5759.274,-24.82324,1,0,8.37,0.0,1.4799,1.4799,0.0028,0.0009,0.01327467,-0.0008877841,0.0,99.99745,3.0,5270.173,1.0,0.2932165,4.850944,4.824019,33.69559,33.69656,9.734918e-07,9.506709e-07,0.0001437785,0.000143749,20.00052,20.00055,20.15186,20.15189,237.0004,237.0005,224.116,224.116,2.695002e-11,2.568069e-11,5.863124e-07,5.860725e-07,200.0,5.505371,5.603027,5.88561,6.40216,7.258101,8.678402,11.20159,16.42607,31.21807,200.0,32.25913,15.73713,10.80343,8.437578,7.103539,6.301042,5.821305,5.567627,5.495605,1.0,0.0,0.01746701933287327,3,0.0
8.392,9108593.491,5759.305,-24.79199,1,0,8.39,0.0,1.6024,1.6024,0.003,0.002,0.01317215,-0.0008655895,0.0,99.99745,3.0,5235.988,1.0,0.2931831,5.463011,5.42926,28.08114,28.08229,1.029514e-06,1.007368e-06,0.0001540666,0.0001540374,20.00067,20.0007,20.16272,20.16275,237.0005,237.0006,224.1243,224.1244,3.011759e-11,2.881469e-11,6.725505e-07,6.722954e-07,200.0,5.505249,5.602783,5.88536,6.401461,7.257045,8.677135,11.19895,16.42023,31.19898,200.0,32.28447,15.7423,10.80602,8.438991,7.104388,6.301553,5.821724,5.567749,5.495728,1.0,0.0,0.017322357263451143,3,0.0
8.412,9108593.511,5759.338,-24.75879,1,0,8.41,0.0,1.7266,1.7266,0.0031,0.003,0.01306105,-0.0008433949,0.0,99.99722,3.0,5235.988,1.0,0.293165,6.055927,6.032912,29.66249,29.6637,1.081093e-06,1.058595e-06,0.0001635839,0.0001635551,20.00082,20.00085,20.17276,20.17279,237.0007,237.0007,224.132,224.132,3.318893e-11,3.180073e-11,7.575769e-07,7.573105e-07,200.0,5.505127,5.602661,5.884804,6.401076,7.256135,8.675692,11.19635,16.41457,31.17863,200.0,32.31065,15.74769,10.8082,8.440246,7.105206,6.302024,5.822273,5.567871,5.49585,1.0,0.0,0.01716677079646243,3,0.0
8.432,9108593.53,5759.375,-24.72217,1,0,8.43,0.0,1.8543,1.8543,0.0033,0.0039,0.01294136,-0.0008433949,0.0,99.99699,3.0,5235.988,1.0,0.2931607,6.437119,6.419427,31.35583,31.35769,1.132743e-06,1.110587e-06,0.0001736782,0.0001736492,20.00104,20.00104,20.18344,20.18344,237.0008,237.0008,224.1402,224.1402,3.641422e-11,3.498211e-11,8.533076e-07,8.530231e-07,200.0,5.505127,5.602417,5.884484,6.400499,7.255297,8.674417,11.19421,16.40803,31.15628,200.0,32.33909,15.75369,10.81066,8.44169,7.106025,6.302632,5.82241,5.568115,5.49585,1.0,0.0,0.017014376723648392,3,0.0
8.452,9108593.553,5759.413,-24.68457,1,0,8.45,0.0,1.9843,1.9843,0.0034,0.0045,0.01281357,-0.0008433949,0.0,99.99677,3.0,5235.988,1.0,0.2931671,6.668597,6.655189,33.04533,33.04737,1.181981e-06,1.159897e-06,0.0001843422,0.0001843137,20.00125,20.00125,20.1947,20.1947,237.001,237.001,224.1488,224.1488,3.962818e-11,3.813933e-11,9.606442e-07,9.603461e-07,200.0,5.505005,5.602295,5.884282,6.400007,7.254604,8.673075,11.19151,16.40229,31.13328,200.0,32.36897,15.75917,10.81322,8.44276,7.106729,6.302934,5.822562,5.568359,5.49585,1.0,0.0,0.016851669408376388,3,0.0
