sim_time_s,wall_time_s,dist_from_start_m,dist_raced_m,race_lap,cur_lap_time_s,last_lap_time_s,total_speed_mps,speed_body_x_mps,speed_body_y_mps,speed_body_z_mps,angle_rad,track_pos,damage,fuel_l,gear,engine_rpm,race_pos,pos_z_m,fr_spin_vel_rad_s,fl_spin_vel_rad_s,rr_spin_vel_rad_s,rl_spin_vel_rad_s,fr_tire_wear,fl_tire_wear,rr_tire_wear,rl_tire_wear,fr_tire_temp_c,fl_tire_temp_c,rr_tire_temp_c,rl_tire_temp_c,fr_tire_pressure_kpa,fl_tire_pressure_kpa,rr_tire_pressure_kpa,rl_tire_pressure_kpa,fr_tire_graining,fl_tire_graining,rr_tire_graining,rl_tire_graining,opp_nearest_m,track_beam_00_m,track_beam_01_m,track_beam_02_m,track_beam_03_m,track_beam_04_m,track_beam_05_m,track_beam_06_m,track_beam_07_m,track_beam_08_m,track_beam_09_m,track_beam_10_m,track_beam_11_m,track_beam_12_m,track_beam_13_m,track_beam_14_m,track_beam_15_m,track_beam_16_m,track_beam_17_m,track_beam_18_m,accel_cmd,brake_cmd,steer_cmd,gear_cmd,clutch_cmd
9.372,9104354.198,5759.099,-24.99854,1,9.37,0.0,0.0009,0.0007,0.0006,0.0,0.01669168,0.0,0.0,100.0,0.0,5235.988,1.0,0.2930276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,20.0,20.0,20.0,237.0,237.0,224.0,224.0,0.0,0.0,0.0,0.0,200.0,5.500732,5.601807,5.88813,6.409387,7.272879,8.707013,11.2596,16.56861,31.75624,200.0,31.5827,15.60361,10.75032,8.411484,7.089952,6.294552,5.819695,5.569458,5.500732,1.0,0.0,0.021252511465524485,1,0.0
9.392,9104354.213,5759.099,-24.99854,1,9.39,0.0,0.0009,0.0007,-0.0005,0.0,0.01663971,0.0,0.0,100.0,1.0,5235.988,1.0,0.2930276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,20.0,20.0,20.0,237.0,237.0,224.0,224.0,0.0,0.0,0.0,0.0,200.0,5.500732,5.601685,5.88796,6.409203,7.272366,8.706457,11.25861,16.56668,31.7479,200.0,31.59328,15.60596,10.75154,8.412141,7.090307,6.294703,5.819863,5.569458,5.500854,1.0,0.0,0.021186341192618263,1,0.0
9.412,9104354.234,5759.099,-24.99854,1,9.41,0.0,0.0014,0.0013,0.0004,0.0,0.01688576,0.0,0.0,100.0,1.0,5250.848,1.0,0.2930276,0.4364216,-0.4354331,0.7758459,-0.7736715,9.310569e-08,9.285558e-08,1.750859e-07,1.74769e-07,20.00003,20.0,20.00021,20.00021,237.0,237.0,224.0002,224.0002,2.758249e-13,2.740188e-13,9.683951e-13,9.650993e-13,200.0,5.500854,5.601929,5.888532,6.41022,7.274187,8.708869,11.26335,16.5777,31.78846,200.0,31.54503,15.59496,10.74692,8.409579,7.088847,6.293877,5.819207,5.569214,5.500732,1.0,0.0,0.02149962184777654,1,0.0
9.432,9104354.254,5759.099,-24.99854,1,9.43,0.0,0.0023,0.0021,-0.001,0.0,0.01691055,0.0,0.0,100.0,1.0,5235.988,1.0,0.2930276,-0.287982,0.2704571,-0.1932518,1.358613,1.927806e-07,1.926349e-07,4.089403e-07,4.078827e-07,20.00003,20.0,20.00049,20.00049,237.0,237.0,224.0004,224.0004,1.111731e-12,1.110243e-12,4.973104e-12,4.950176e-12,200.0,5.500854,5.602051,5.888575,6.410199,7.274361,8.709366,11.26393,16.57853,31.79205,200.0,31.5399,15.59478,10.74624,8.409519,7.088752,6.293674,5.81923,5.569214,5.500854,1.0,0.0,0.02153118546265715,1,0.0
9.452,9104354.315,5759.099,-24.99805,1,9.45,0.0,0.0904,0.0903,-0.0019,0.0004,0.01696777,-2.21946e-05,0.0,99.99977,1.0,5235.988,1.0,0.2930279,0.415353,0.3762296,8.6304,8.655174,2.809729e-07,3.271766e-07,1.825139e-06,1.81063e-06,20.00003,20.00006,20.00195,20.00192,237.0,237.0001,224.0015,224.0015,2.315038e-12,3.150976e-12,1.009836e-10,9.96154e-11,200.0,5.500977,5.602173,5.888868,6.410584,7.27489,8.710013,11.26526,16.58175,31.80189,200.0,31.52742,15.59125,10.74496,8.408681,7.088282,6.293468,5.818913,5.569092,5.500732,1.0,0.0,0.021618169768703253,1,0.0
9.492,9104354.315,5759.107,-24.98975,1,9.49,0.0,0.3461,0.346,0.001,0.0037,0.0168972,-6.658381e-05,0.0,99.99931,1.0,5235.988,1.0,0.2930832,0.6189732,0.7990265,21.7632,21.78595,4.146897e-07,4.526203e-07,1.157047e-05,1.157411e-05,20.00012,20.00009,20.01224,20.01221,237.0001,237.0001,224.0093,224.0093,4.972789e-12,5.937623e-12,3.91581e-09,3.918799e-09,200.0,5.501099,5.602295,5.889026,6.41082,7.274519,8.709793,11.26423,16.57945,31.79139,200.0,31.54004,15.59409,10.74562,8.408983,7.088495,6.293447,5.818856,5.568848,5.500488,1.0,0.0,0.021556576289982914,1,0.0
9.532,9104354.364,5759.127,-24.96973,1,9.53,0.0,0.5972,0.5972,0.0002,0.0056,0.01680136,-0.0001997514,0.0,99.99882,1.0,6256.594,1.0,0.2932448,2.278699,1.567778,35.20598,35.22897,5.218043e-07,5.76132e-07,3.069707e-05,3.07159e-05,20.00012,20.00009,20.03247,20.03244,237.0001,237.0001,224.0248,224.0248,7.817596e-12,9.539898e-12,2.716744e-08,2.72014e-08,200.0,5.501831,5.603027,5.889471,6.411199,7.274987,8.709853,11.26414,16.57685,31.77812,200.0,31.55633,15.59621,10.74608,8.408806,7.087939,6.292849,5.818273,5.568237,5.499634,1.0,0.0,0.02151932612509836,1,0.0
9.552,9104354.374,5759.14,-24.95703,1,9.55,0.0,0.7211,0.721,0.0019,0.005,0.01673412,-0.0002663352,0.0,99.99836,1.0,8217.704,1.0,0.2933307,2.763132,2.692632,46.13979,46.15136,5.781786e-07,6.221115e-07,4.432015e-05,4.434586e-05,20.00012,20.00009,20.04688,20.04684,237.0001,237.0001,224.0358,224.0358,9.573633e-12,1.109676e-11,5.641381e-08,5.647988e-08,200.0,5.502319,5.603271,5.889827,6.411434,7.275039,8.709645,11.26324,16.57476,31.76878,200.0,31.56941,15.59784,10.74672,8.408925,7.087964,6.292675,5.817981,5.567871,5.499268,1.0,0.0,0.021476102052717223,2,0.0
9.572,9104354.394,5759.156,-24.94092,1,9.57,0.0,0.8601,0.8601,0.0009,0.0032,0.01665783,-0.0003551136,0.0,99.99756,1.0,11089.33,1.0,0.2933884,2.626624,2.495054,62.32771,62.32771,6.356241e-07,6.725562e-07,6.221614e-05,6.224019e-05,20.00012,20.00009,20.0658,20.06577,237.0001,237.0001,224.0503,224.0502,1.154646e-11,1.294314e-11,1.108866e-07,1.109726e-07,200.0,5.502686,5.60376,5.890044,6.41177,7.275317,8.70976,11.263,16.57223,31.75696,200.0,31.5822,15.59987,10.74704,8.408724,7.087706,6.292199,5.817467,5.567505,5.498779,1.0,0.0,0.021435484684198324,2,0.0
9.612,9104354.451,5759.196,-24.90137,1,9.61,0.0,1.1084,1.1084,0.0009,-0.0001,0.01649094,-0.0005992543,0.0,99.99746,2.0,8395.162,1.0,0.2933714,3.632601,3.233553,52.31892,52.32005,7.467673e-07,7.952667e-07,0.0001009298,0.000100951,20.00012,20.00009,20.10669,20.10666,237.0001,237.0001,224.0815,224.0815,1.589003e-11,1.803728e-11,2.903557e-07,2.904776e-07,200.0,5.50415,5.604858,5.891232,6.412457,7.275971,8.709811,11.26175,16.56772,31.73316,200.0,31.61022,15.60342,10.74777,8.408574,7.08696,6.291358,5.816493,5.566284,5.497437,1.0,0.0,0.02137841852156486,3,0.0
